time (seconds),encoderLeft (meters),encoderRight (meters)
0.102,0.009935668669641018,0.009935402311384678
0.202,0.009935668669641018,0.009935402311384678
0.3,0.009937742725014687,0.009937462396919727
0.4,0.009936767630279064,0.009936234913766384
0.5,0.00993553176522255,0.009934874251484871
0.6,0.009934295900166035,0.009933513589203358
0.702,0.009933060966432095,0.009932155720889568
0.802,0.009931826032698154,0.009930797852575779
0.901,0.009930584579706192,0.009929433465003967
1.001,0.009929352439939976,0.009928077459335327
1.103,0.009928110986948013,0.009926714934408665
1.203,0.009926874190568924,0.0099253561347723
1.296,0.009925635531544685,0.009923997335135937
1.401,0.009924395941197872,0.009922635741531849
1.502,0.009923156350851059,0.009921275079250336
1.591,0.009921916760504246,0.009919914416968822
1.702,0.00992077961564064,0.00991864688694477
1.804,0.009919620119035244,0.009917356073856354
1.899,0.009918449446558952,0.00991605781018734
2.003,0.009917271323502064,0.009914740920066833
2.101,0.00991612859070301,0.00991346687078476
2.202,0.009914953261613846,0.009912160225212574
2.299,0.009913831017911434,0.009910906665027142
2.403,0.009912640787661076,0.009909586980938911
2.502,0.009911522269248962,0.009908338077366352
2.6029999999999998,0.009910345077514648,0.009907027706503868
2.701,0.009909184649586678,0.009905736893415451
2.801,0.00990801490843296,0.009904437698423862
2.902,0.009906853549182415,0.009903143160045147
2.996,0.009905725717544556,0.009901883080601692
3.102,0.009904560633003712,0.009900585748255253
3.199,0.009903397411108017,0.009899288415908813
3.301,0.009902212768793106,0.009897970594465733
3.402,0.009901085868477821,0.009896713308990002
3.502,0.009899934753775597,0.009895429015159607
3.602,0.009898869320750237,0.009894240647554398
3.701,0.009898869320750237,0.009894240647554398
3.798,0.009898869320750237,0.009894240647554398
3.9,0.009898869320750237,0.009894240647554398
4.003,0.009898869320750237,0.009894240647554398
4.103,0.009899364784359932,0.00989442877471447
4.202,0.00989836547523737,0.009893281385302544
4.303,0.009897124953567982,0.009891916997730732
4.397,0.00989589188247919,0.009890560992062092
4.5,0.009894655086100101,0.009889200329780579
4.598,0.009893419221043587,0.009887839667499065
4.702,0.009892181493341923,0.009886480867862701
4.802,0.009890946559607983,0.009885122999548912
4.902,0.009889704175293446,0.0098837586119771
5.002,0.009888467378914356,0.009882397949695587
5.101,0.009887230582535267,0.009881041012704372
5.202,0.009885989129543304,0.009879679419100285
5.302,0.009884747676551342,0.009878316894173622
5.402,0.009883514605462551,0.009876962751150131
5.503,0.009882324375212193,0.009875642135739326
5.601,0.009881195612251759,0.009874382987618446
5.699,0.009903323836624622,0.009849621914327145
5.802,0.012249767780303955,0.0074999975040555
5.9,0.014597799628973007,0.005148513708263636
6,0.016945797950029373,0.002796994987875223
6.101,0.019293811172246933,0.00044550219899974763
6.201,0.021641839295625687,-0.0019059524638578296
6.301,0.023989863693714142,-0.0042574442923069
6.4030000000000005,0.026337880641222,-0.006608908995985985
6.5,0.028685899451375008,-0.008960424922406673
6.602,0.031033877283334732,-0.011311943642795086
6.701,0.03338192030787468,-0.013663433492183685
6.802,0.035729918628931046,-0.016014914959669113
6.901,0.03807797655463219,-0.018366394564509392
7.001,0.04042603448033333,-0.020717844367027283
7.094,0.042774055153131485,-0.023069337010383606
7.202,0.045122068375349045,-0.025420861318707466
7.302,0.0474700964987278,-0.027772357687354088
7.402,0.04981815442442894,-0.030123822391033173
7.502,0.0521661676466465,-0.032475318759679794
7.602,0.05451420694589615,-0.034826796501874924
7.702,0.0568622425198555,-0.03717828169465065
7.8,0.05921030417084694,-0.03952973335981369
7.901,0.0615583136677742,-0.04188123345375061
8.002,0.06390634179115295,-0.044232696294784546
8.102,0.0662543997168541,-0.04658417031168938
8.2,0.06860242038965225,-0.04893564060330391
8.302,0.0709504559636116,-0.051287103444337845
8.401,0.07329850643873215,-0.05363858491182327
8.502,0.07564651966094971,-0.05599009618163109
8.599,0.07799457013607025,-0.058341532945632935
8.702,0.08034256845712662,-0.06069305166602135
8.801,0.08269061893224716,-0.063044473528862
8.902,0.08503865450620651,-0.06539596617221832
9.002,0.08738663792610168,-0.06774747371673584
9.101,0.08973472565412521,-0.07009892165660858
9.202,0.09208272397518158,-0.0724504217505455
9.302,0.09443075209856033,-0.07480189204216003
9.403,0.09677879512310028,-0.07715335488319397
9.5,0.09912680089473724,-0.0795048251748085
9.603,0.10147486627101898,-0.08185628801584244
9.702,0.10382287204265594,-0.08420778065919876
9.802,0.10617092251777649,-0.0865592360496521
9.901,0.10851900279521942,-0.08891068398952484
10,0.11086700111627579,-0.09126219898462296
10.102,0.11321502178907394,-0.0936136469244957
10.199,0.1155630424618721,-0.09596513956785202
10.301,0.11791104823350906,-0.09831662476062775
10.398,0.12025908380746841,-0.10066810250282288
10.493,0.12260715663433075,-0.10301955789327621
10.600999999999999,0.12495516985654831,-0.10537103563547134
10.702,0.12730316817760468,-0.10772253572940826
10.801,0.12965118885040283,-0.1100740134716034
10.9,0.13199926912784576,-0.11242546141147614
11.002,0.13434728980064392,-0.11477693915367126
11.097,0.13669532537460327,-0.11712842434644699
11.202,0.13904331624507904,-0.11947992444038391
11.301,0.14139136672019958,-0.12183135747909546
11.402,0.14373937249183655,-0.12418286502361298
11.502,0.14608736336231232,-0.1265343576669693
11.600999999999999,0.14843541383743286,-0.12888583540916443
11.702,0.1507834494113922,-0.13123728334903717
11.802,0.15313145518302917,-0.1335887908935547
11.902,0.15547947585582733,-0.13594026863574982
12.001,0.1578274816274643,-0.13829173147678375
12.099,0.16017550230026245,-0.14064323902130127
12.202,0.16259928047657013,-0.1428714543581009
12.301,0.17259539663791656,-0.13287843763828278
12.401,0.18259425461292267,-0.12287990003824234
12.5,0.19259311258792877,-0.11288135498762131
12.600999999999999,0.20259197056293488,-0.10288280993700027
12.701,0.21259081363677979,-0.09288425743579865
12.803,0.2225896567106247,-0.08288570493459702
12.903,0.2325885146856308,-0.07288710027933121
13.001,0.2425873726606369,-0.06288844347000122
13.099,0.2525862157344818,-0.05288976803421974
13.202,0.26258498430252075,-0.042891114950180054
13.291,0.27258381247520447,-0.03289242833852768
13.402,0.2825826406478882,-0.022893719375133514
13.501,0.2925814390182495,-0.012895057909190655
13.602,0.3025802969932556,-0.002896359656006098
13.699,0.31257909536361694,0.007102321367710829
13.8,0.32257789373397827,0.017100991681218147
13.903,0.332576721906662,0.027099698781967163
13.999,0.3425755500793457,0.03709837421774864
14.102,0.3525743782520294,0.04709706827998161
14.203,0.36257320642471313,0.05709578096866608
14.301,0.37257200479507446,0.06709445267915726
14.4,0.38257086277008057,0.07709317654371262
14.501,0.3925696313381195,0.087091825902462
14.602,0.4025684893131256,0.09709054231643677
14.702,0.4125673174858093,0.10708922147750854
14.803,0.42256608605384827,0.11708788573741913
14.904,0.43256497383117676,0.12708662450313568
15.002,0.4425637722015381,0.13708528876304626
15.101,0.4525626301765442,0.14708401262760162
15.199,0.4625614285469055,0.1570827066898346
15.302,0.4725602865219116,0.16708140075206757
15.4,0.48255911469459534,0.17708010971546173
15.499,0.49255794286727905,0.1870788037776947
15.599,0.5025567412376404,0.19707749783992767
15.7,0.5125555992126465,0.20707619190216064
15.802,0.5225543975830078,0.21707488596439362
15.902,0.5325531959533691,0.2270735651254654
16.001,0.5425520539283752,0.23707230389118195
16.101,0.5525509119033813,0.24707099795341492
16.202,0.5625497102737427,0.2570696771144867
16.301,0.5725485682487488,0.26706838607788086
16.399,0.5825474262237549,0.277067095041275
16.502,0.5925462245941162,0.2870658040046692
16.603,0.6025450229644775,0.2970644533634186
16.701999999999998,0.6125438809394836,0.30706319212913513
16.802,0.622542679309845,0.3170618712902069
16.901,0.6325415372848511,0.3270605504512787
17,0.6425403952598572,0.33705928921699524
17.102,0.6525391936302185,0.347057968378067
17.203,0.6625379920005798,0.3570566475391388
17.298,0.6725368499755859,0.36705535650253296
